GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
tessera-app,com.quorum.tessera.node.model,PartyInfo,0,31,0,0,0,8,0,4,0,4
tessera-app,com.quorum.tessera.node.model,Party,0,32,0,4,0,6,0,6,0,4
tessera-app,com.quorum.tessera.node.model,Recipient,0,53,1,5,0,12,1,7,0,5
tessera-app,com.quorum.tessera.transaction.model,EncodedPayloadWithRecipients,0,16,0,0,0,6,0,3,0,3
tessera-app,com.quorum.tessera.transaction.model,EncodedPayload,0,71,0,0,0,21,0,8,0,8
tessera-app,com.quorum.tessera.transaction.model,EncryptedTransaction,0,46,0,4,0,15,0,10,0,8
tessera-app,com.quorum.tessera.transaction,EncryptedTransactionDAOImpl,0,71,0,0,0,25,0,6,0,6
tessera-app,com.quorum.tessera.transaction,TransactionServiceImpl,0,309,0,2,0,66,0,14,0,13
tessera-app,com.quorum.tessera.transaction,PayloadEncoderImpl,0,341,0,6,0,75,0,8,0,5
tessera-app,com.quorum.tessera.threading,TesseraScheduledExecutor,0,83,0,0,0,21,0,5,0,5
tessera-app,com.quorum.tessera.sync.model,SyncableParty,0,15,0,0,0,6,0,3,0,3
tessera-app,com.quorum.tessera.transaction.exception,TransactionNotFoundException,0,4,0,0,0,2,0,1,0,1
tessera-app,com.quorum.tessera.api,Tessera,0,53,0,0,0,11,0,5,0,5
tessera-app,com.quorum.tessera.api,TransactionResource,0,360,1,7,0,87,1,18,0,15
tessera-app,com.quorum.tessera.api,ApiResource,0,52,0,4,0,9,0,5,0,3
tessera-app,com.quorum.tessera.api,UpCheckResource,0,12,0,0,0,4,0,3,0,3
tessera-app,com.quorum.tessera.api,PartyInfoResource,0,43,0,0,0,11,0,3,0,3
tessera-app,com.quorum.tessera.api,VersionResource,0,12,0,0,0,4,0,3,0,3
tessera-app,com.quorum.tessera.sync,SyncPoller,0,61,0,4,0,18,0,5,0,3
tessera-app,com.quorum.tessera.sync,ResendPartyStoreImpl,0,65,0,2,0,21,0,6,0,5
tessera-app,com.quorum.tessera.sync,TransactionRequesterImpl,0,82,0,4,0,25,0,8,0,6
tessera-app,com.quorum.tessera.enclave,EnclaveImpl,0,259,0,4,0,61,0,13,0,11
tessera-app,com.quorum.tessera.api.filter,LoggingFilter,0,18,0,0,0,6,0,4,0,4
tessera-app,com.quorum.tessera.api.filter,IPWhitelistFilter,0,64,1,9,0,18,1,7,0,3
tessera-app,com.quorum.tessera.api.filter,PrivateApiFilter,0,53,0,8,0,15,0,8,0,4
tessera-app,com.quorum.tessera.api.exception,DefaultExceptionMapper,0,19,0,0,0,6,0,3,0,3
tessera-app,com.quorum.tessera.api.exception,EntityNotFoundExceptionMapper,0,10,0,0,0,2,0,2,0,2
tessera-app,com.quorum.tessera.api.exception,DecodingExceptionMapper,0,21,0,0,0,7,0,3,0,3
tessera-app,com.quorum.tessera.api.exception,NotFoundExceptionMapper,0,10,0,0,0,4,0,2,0,2
tessera-app,com.quorum.tessera.api.exception,TransactionNotFoundExceptionMapper,0,21,0,0,0,7,0,3,0,3
tessera-app,com.quorum.tessera.api.exception,WebApplicationExceptionMapper,0,50,0,2,0,11,0,4,0,3
tessera-app,com.quorum.tessera.api.exception,KeyNotFoundExceptionMapper,0,21,0,0,0,7,0,3,0,3
tessera-app,com.quorum.tessera.key.exception,KeyNotFoundException,0,4,0,0,0,2,0,1,0,1
tessera-app,com.quorum.tessera.key,KeyManagerImpl,0,152,0,0,0,38,0,12,0,12
tessera-app,com.quorum.tessera.node,PartyInfoServiceImpl,0,102,0,0,0,31,0,8,0,8
tessera-app,com.quorum.tessera.node,PostDelegate,0,53,0,4,0,17,0,5,0,3
tessera-app,com.quorum.tessera.node,PartyInfoPoller,0,139,0,4,0,35,0,10,0,8
tessera-app,com.quorum.tessera.node,PartyInfoStore,0,49,0,0,0,11,0,3,0,3
tessera-app,com.quorum.tessera.node,PartyInfoParser.new PartyInfoParser() {...},0,3,0,0,0,1,0,1,0,1
tessera-app,com.quorum.tessera.node,PartyInfoParser,0,225,0,4,0,48,0,8,0,6
tessera-app,com.quorum.tessera.node,ClientFactory,0,27,0,2,0,11,0,3,0,2
tessera-app,com.quorum.tessera.api.model,SendResponse,0,16,0,0,0,8,0,4,0,4
tessera-app,com.quorum.tessera.api.model,DeleteRequest,0,10,0,0,0,4,0,3,0,3
tessera-app,com.quorum.tessera.api.model,ReceiveResponse,0,16,0,0,0,8,0,4,0,4
tessera-app,com.quorum.tessera.api.model,ResendRequestType,0,24,0,0,0,2,0,1,0,1
tessera-app,com.quorum.tessera.api.model,SendRequest,0,35,0,2,0,12,0,8,0,7
tessera-app,com.quorum.tessera.api.model,ResendRequest,0,24,0,0,0,10,0,7,0,7
tessera-app,com.quorum.tessera.api.model,ReceiveRequest,0,17,0,0,0,7,0,5,0,5
tessera-app,com.quorum.tessera.util,BinaryEncoder,0,79,0,4,0,21,0,6,0,4
tessera-app,com.quorum.tessera.util,Base64Decoder,0,18,0,0,0,5,0,3,0,3
tessera-app,com.quorum.tessera.util,Base64Decoder.new Base64Decoder() {...},0,3,0,0,0,1,0,1,0,1
tessera-app,com.quorum.tessera.enclave.model,MessageHash,0,49,0,4,0,12,0,9,0,7
tessera-app,com.quorum.tessera.util.exception,DecodingException,0,4,0,0,0,2,0,1,0,1
tessera-app,com.quorum.tessera.exception,TesseraException,0,8,0,0,0,4,0,2,0,2
tessera-app,com.quorum.tessera,Launcher,204,0,14,0,49,0,14,0,7,0
